subject,0BK_BODY_ACC,0BK_BODY_ACC_TARGET,0BK_BODY_ACC_NONTARGET,0BK_FACE_ACC,0BK_FACE_ACC_TARGET,0BK_FACE_ACC_NONTARGET,0BK_PLACE_ACC,0BK_PLACE_ACC_TARGET,0BK_PLACE_ACC_NONTARGET,0BK_TOOL_ACC,0BK_TOOL_ACC_TARGET,0BK_TOOL_ACC_NONTARGET,0BK_BODY_MEDIAN_RT,0BK_BODY_MEDIAN_RT_TARGET,0BK_BODY_MEDIAN_RT_NONTARGET,0BK_FACE_MEDIAN_RT,0BK_FACE_MEDIAN_RT_TARGET,0BK_FACE_MEDIAN_RT_NONTARGET,0BK_PLACE_MEDIAN_RT,0BK_PLACE_MEDIAN_RT_TARGET,0BK_PLACE_MEDIAN_RT_NONTARGET,0BK_TOOL_MEDIAN_RT,0BK_TOOL_MEDIAN_RT_TARGET,0BK_TOOL_MEDIAN_RT_NONTARGET,2BK_BODY_ACC,2BK_BODY_ACC_TARGET,2BK_BODY_ACC_NONTARGET,2BK_FACE_ACC,2BK_FACE_ACC_TARGET,2BK_FACE_ACC_NONTARGET,2BK_PLACE_ACC,2BK_PLACE_ACC_TARGET,2BK_PLACE_ACC_NONTARGET,2BK_TOOL_ACC,2BK_TOOL_ACC_TARGET,2BK_TOOL_ACC_NONTARGET,2BK_BODY_MEDIAN_RT,2BK_BODY_MEDIAN_RT_TARGET,2BK_BODY_MEDIAN_RT_NONTARGET,2BK_FACE_MEDIAN_RT,2BK_FACE_MEDIAN_RT_TARGET,2BK_FACE_MEDIAN_RT_NONTARGET,2BK_PLACE_MEDIAN_RT,2BK_PLACE_MEDIAN_RT_TARGET,2BK_PLACE_MEDIAN_RT_NONTARGET,2BK_TOOL_MEDIAN_RT,2BK_TOOL_MEDIAN_RT_TARGET,2BK_TOOL_MEDIAN_RT_NONTARGET,
118528,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.875,1.0,1.0,1.0,658.0,481.0,682.0,654.5,597.0,654.5,594.0,712.0,594.0,691.0,1060.0,691.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1335.5,1104.5,1462.0,901.0,1353.0,861.5,817.0,869.0,817.0,570.0,524.0,634.5,
118730,1.0,1.0,1.0,0.9,0.5,1.0,0.9,1.0,0.875,0.9,1.0,0.875,779.0,629.0,808.0,734.0,688.0,742.0,736.0,653.0,905.0,654.0,762.5,654.0,0.625,0.0,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833333333333,962.0,nan,962.0,1056.5,1326.0,1056.5,1230.5,995.5,1230.5,756.0,973.5,756.0,
118932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,754.5,682.0,908.0,494.0,444.5,494.0,879.5,811.5,911.5,836.0,998.5,736.5,1.0,1.0,1.0,0.875,0.5,1.0,1.0,1.0,1.0,0.875,0.5,1.0,1298.0,1203.0,1298.0,1076.0,1256.0,1063.5,1221.5,1301.0,1153.5,1099.0,1056.0,1178.0,
120515,0.6,1.0,0.5,0.6,0.5,0.625,0.5,0.5,0.5,0.7,1.0,0.625,927.5,835.0,1006.0,915.5,547.0,970.0,1309.0,1345.0,1103.5,907.0,694.5,993.0,0.375,0.5,0.333333333333,0.625,1.0,0.5,0.625,1.0,0.5,0.75,1.0,0.666666666667,893.0,636.0,955.0,1519.0,1371.5,1519.0,1128.0,942.0,1454.0,930.5,1204.5,930.5,
122317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,935.0,912.5,935.0,670.0,805.0,627.5,926.5,1040.5,926.5,856.5,1447.5,817.0,0.75,1.0,0.666666666667,0.875,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1248.0,1278.0,1195.0,1261.0,1150.0,1295.0,1174.0,1178.0,1174.0,1021.5,1000.0,1021.5,
122620,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,1.0,646.5,665.5,646.5,697.5,726.0,697.5,674.0,632.5,710.0,1004.0,1596.0,981.5,0.875,1.0,0.833333333333,0.75,0.0,1.0,1.0,1.0,1.0,0.875,0.5,1.0,1294.0,1080.0,1294.0,952.0,nan,952.0,1304.5,1257.0,1304.5,860.0,952.0,857.5,
127933,0.6,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1198.5,nan,1198.5,672.0,638.0,672.0,649.0,718.5,623.5,755.0,969.0,755.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1067.5,943.5,1109.5,983.5,944.0,1039.0,896.5,987.5,842.0,1057.0,1001.5,1057.0,
129028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,784.5,902.0,784.5,604.5,624.0,604.0,864.5,882.5,864.5,667.5,916.0,667.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1066.5,948.5,1091.5,926.0,1088.0,897.5,1031.5,950.0,1032.5,907.5,907.5,907.5,
133019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,1.0,757.0,820.5,695.0,522.0,822.0,507.0,748.5,666.5,753.5,606.0,746.0,598.0,0.75,0.5,0.833333333333,0.75,0.5,0.833333333333,1.0,1.0,1.0,0.75,1.0,0.666666666667,716.0,1264.0,679.0,840.0,691.0,989.0,918.0,943.0,918.0,701.0,851.5,642.0,
133625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,1.0,951.5,885.0,951.5,694.5,730.0,613.0,711.5,721.0,711.5,794.0,806.0,758.5,0.75,0.5,0.833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1194.5,984.0,1350.0,1035.0,968.5,1035.0,1035.5,1064.0,1035.5,1163.5,882.5,1363.5,
